"GROUP_LEADER_COMMAND";83;36;0;4;52;10;0;22;0;10;26;1;0;3;1;5;5;39;0;4;15;0;10;1;4;0;4;0;0;6;9;4;0;0;0;0;1;1;1;1;5;15;0;1;0;0;16;3;0;1;0;0;0;1;1;0;0;4;1;1;0;0;4;0;16;2;0;6;0;0;0;1;0;0;0;0;2;0;0;0;1;0;4;1;1;1;37;1;0;10;0;0;2;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;1;1;1;0;0;0;3;9;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;9;0;1;0;0;1;0;2;0;0;0;1;1;3;0;5;0;0;0;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"G_DISCOVERED_N";9;1;1;3;8;8;1;3;1;4;6;2;1;1;2;5;4;7;1;4;1;1;1;2;3;2;2;1;2;2;6;4;1;1;2;1;2;1;3;2;3;2;1;3;1;1;4;1;1;2;1;1;1;2;2;1;1;5;2;2;1;1;2;1;5;3;1;4;2;2;4;1;1;1;6;1;3;2;1;1;1;1;2;2;2;2;6;1;2;4;2;1;2;1;1;2;1;1;1;1;3;1;3;5;1;1;2;1;1;2;1;3;1;1;1;2;3;2;1;4;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;4;1;1;1;2;2;1;1;1;1;1;2;2;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
"GROUP_LEADER_COMMAND_ACK";0;9;8;0;0;8;6;9;5;0;0;0;4;3;2;3;2;0;6;3;7;1;5;0;0;1;0;4;1;4;3;3;5;4;1;3;0;2;4;0;0;6;5;5;0;2;0;4;3;0;1;0;0;2;0;3;1;1;0;2;0;0;0;2;1;2;0;4;1;1;3;0;0;1;4;1;2;2;0;1;2;2;0;1;1;0;0;0;1;7;2;4;3;0;1;1;2;1;0;0;0;0;2;2;0;2;2;5;0;0;0;3;0;4;1;3;0;1;1;1;2;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;3;0;2;1;0;0;2;1;1;0;0;3;0;0;1;1;0;0;0;1;0;2;0;0;2;0;1;0;1;0;2;0;1;0;1;0;0;3;1;1;0;1;0;0;0;1;1;1;2;0;0;1;1;1;0;0;0;1;1;0;2;0;0
"GROUP_COORDINATION_COMMAND";9;0;0;2;7;3;0;1;0;3;5;1;0;0;0;2;3;6;0;3;0;0;0;1;2;0;2;0;0;0;4;3;0;0;0;0;1;0;1;1;2;0;0;1;0;0;4;0;0;1;0;0;0;0;1;0;0;2;1;0;0;0;2;0;4;1;0;3;0;0;2;1;0;0;0;0;2;0;0;0;0;0;2;1;1;1;6;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;3;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;1;1;0;0;2;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"GROUP_COORDINATION_COMMAND_ACK";0;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;2;1;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;1;1;3;0;1;0;0;0;1;1;2;0;1;1;1;2;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;3;4;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;3;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;2;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;2;0;1;0;0;1;1;1;0;1;0;0;0;2;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0
"Sum";101;47;10;9;67;30;8;36;7;17;37;4;6;8;6;16;15;52;8;15;24;3;17;4;9;4;8;6;4;13;24;15;7;6;4;5;4;5;10;4;10;24;7;11;1;4;24;9;5;4;3;1;1;6;4;5;3;15;4;6;1;1;8;4;27;10;1;18;4;4;11;3;1;3;11;3;10;5;1;3;5;4;8;6;6;4;49;3;4;22;5;6;9;1;3;4;4;3;1;1;9;1;8;13;1;5;5;7;1;4;3;8;1;6;3;9;15;5;3;9;4;3;3;3;3;1;1;4;3;4;1;3;1;3;1;16;3;6;1;6;6;1;4;4;3;3;4;4;8;1;9;3;3;1;4;4;3;1;4;3;1;4;1;3;4;3;1;4;1;5;1;3;1;1;5;3;3;1;3;4;3;4;7;3;3;4;1;1;3;3;4;3;1;1;3;3;1;4;3;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Average";7.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sdev st pop";11.2566025069734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
