Key;Node0;Node1;Node2;Node3;Node4;Node5;Node6;Node7;Node8;Node9;Node10;Node11;Node12;Node13;Node14;Node15;Node16;Node17;Node18;Node19;
setUp
---------sent messages----------
GROUP_LEADER_COMMAND;0;102;0;0;0;0;0;45;0;0;0;0;0;1;0;0;0;0;0;0;
GROUP_FOLLOWER_COMMAND;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;
G_DISCOVERED_N;6;364;7;7;6;7;6;1105;4;7;4;3;2;3;2;2;2;2;2;2;
GROUP_COORDINATION_COMMAND;0;49;0;0;0;0;0;11;0;0;0;0;0;3;0;0;0;0;0;0;
GROUP_LEADER_COMMAND_ACK;10;0;9;10;9;13;12;15;9;12;5;1;0;0;1;0;0;0;0;0;
GROUP_FOLLOWER_COMMAND_ACK;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
GROUP_COORDINATION_COMMAND_ACK;4;0;4;6;6;6;6;5;6;6;6;5;0;0;3;0;0;0;0;0;
---------received messages----------
GROUP_FOLLOWER_COMMAND;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
GROUP_LEADER_COMMAND;19;0;17;17;16;15;14;15;11;13;6;1;0;0;1;0;0;0;0;0;
G_DISCOVERED_N;138;139;137;135;131;130;125;121;119;119;113;110;1;3;1;1;1;1;1;1;
GROUP_LEADER_COMMAND_ACK;0;93;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;
GROUP_COORDINATION_COMMAND;4;0;4;6;6;6;6;5;6;6;6;5;0;0;3;0;0;0;0;0;
GROUP_COORDINATION_COMMAND_ACK;0;49;0;0;0;0;0;11;0;0;0;0;0;3;0;0;0;0;0;0;
GROUP_FOLLOWER_COMMAND_ACK;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;
---------Groups----------
leaded groups;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;
followed groups;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;
leaded universe size;0;3;0;0;0;0;0;10;0;0;0;0;1;2;0;1;1;1;1;1;
Total active connections;3;10;5;5;4;5;4;11;3;5;2;2;1;2;1;1;1;1;1;1;
Application active connections;3;2;3;2;1;2;1;1;0;3;0;0;0;1;0;0;0;0;0;0;
Middleware active connections;2;11;2;2;2;2;2;11;2;2;2;2;0;1;1;0;0;0;0;0;

